"login","n_commits","inner_indegree","inner_outdegree","inner_betweenness","inner_incloseness","inner_outcloseness","outer_indegree","outer_outdegree","outer_betweenness","outer_incloseness","outer_outcloseness"
"alexjeffburke",1,0,0,0,0.000938086303939962,0.000938086303939962,10,0,0,4.0335106647474e-11,2.17319571730358e-11
"alexpenev-s",1,0,0,0,0.000938086303939962,0.000938086303939962,0,0,0,0,0
"alippai",1,0,0.000938967136150235,0,0.000938086303939962,0.00292866433656816,24,70,8015037.37484871,4.03340413353145e-11,6.9539423359152e-11
"almost",1,0.000938967136150235,0,0,0.00201376165003659,0.000938086303939962,78,10,6223967.72203419,4.03341488824023e-11,6.95381007924252e-11
"alram",2,0,0,0,0.000938086303939962,0.000938086303939962,13,5,1089831.98426151,4.03339832573926e-11,6.95379740432862e-11
"amb26",1,0.000938967136150235,0,0,0.00201756895255019,0.000938086303939962,26,1,98949,4.03392398077842e-11,2.17320584823261e-11
"amir-s",1,0,0.00187793427230047,0,0.000938086303939962,0.00293266437377289,25,11,3367182.15855698,4.03339615164454e-11,6.95380724561286e-11
"anchika",1,0,0,0,0.000938086303939962,0.000938086303939962,2,9,543615.513536085,4.03339174847546e-11,6.95393752920151e-11
"ando-takahiro",1,0.00187793427230047,0.0028169014084507,4.36071967391142e-05,0.00201325154302026,0.00292393646958694,19,28,3473221.17337943,4.03339683686480e-11,6.95393841027067e-11
"andrasq",4,0,0,0,0.000938086303939962,0.000938086303939962,3,0,0,4.033429085754e-11,2.17319571730358e-11
"andrewlow",2,0.00657276995305164,0,0,0.00202326085056746,0.000938086303939962,45,0,0,4.03425363231341e-11,2.17319571730358e-11
"andyburke",1,0.0028169014084507,0,0,0.00201878895409672,0.000938086303939962,53,21,5566021.76685038,4.03340309886473e-11,6.95393921880414e-11
"aoberoi",1,0.0028169014084507,0.00187793427230047,4.25999753218839e-06,0.00201795888669303,0.00093984962406015,53,25,5456467.86530895,4.03341258788473e-11,6.95393980296002e-11
"apaprocki",4,0.00187793427230047,0,0,0.00201843312732049,0.000938086303939962,50,1,98967,4.03455971380711e-11,2.17320584823261e-11
"apechimp",1,0.000938967136150235,0.000938967136150235,4.41243954957817e-07,0.00201555669108045,0.000938967136150235,28,25,3658328.38639004,4.03340561037271e-11,6.95393595759134e-11
